BookingUpdateDatetimeUTC,BookingAirWaybillPrefix,BookingAirWaybillSerialNumber,BookingAirWaybillNumber,BookingOriginStationCode,BookingDestinationStationCode,BookingEvaluationStatus,BookingTotalVolume,BookingVolumeUnitCode,BookingTotalWeight,BookingWeightUnitCode,BookingTotalPieceCount,BookingProductCode,BookingCommodityCode,BookingUpdateStationCode,BookingUpdateChannelCode,IsBUP,IsCOL,IsCRT,IsPEV,IsICE,IsACT,IsACE,IsDangerousGoods,BookingPartShipmentID,BookingSegmentAirlineDesignator,BookingSegmentFlightNumber,BookingSegmentFlight,BookingSegmentOperationalSuffix,BookingSegmentBoardPointStationCode,BookingSegmentOffPointStationCode,BookingSegmentFlightDateUTC,BookingSegmentFlightDateLT,BookingSegmentVolume,BookingSegmentWeight,BookingSegmentPieceCount,BookingLineNumber,BookingSegmentPiecesID,BookingSegmentPiecesVolume,BookingSegmentPiecesWeight,BookingSegmentPiecesCount,BookingSegmentPiecesStackable,BookingSegmentPiecesTurnable,BookingLinePieceVolume,BookingLinePieceWeight,BookingLinePieceHeight,BookingLinePieceWidth,BookingLinePieceLength,BookingLinePieceIsInformational
16-1-2024 21:36:25,74,745905,7400745905,AMS,SIN,A,0.92,MC,80.0,K,9.0,R21,BOAT,AMS,FFM,False,False,False,False,False,False,False,False,18240589,KL,835,KL0835,,AMS,SIN,15-1-2024,2024-01-16,0.91,79.9,9.0,1.0,1.0,0.1,8.89,9.0,True,True,0.1,8.89,,,,False
16-1-2024 21:36:25,74,746896,7400746896,AMS,SIN,A,0.09,MC,11.2,K,1.0,M21,BOAT,AMS,FFM,False,False,False,False,False,False,False,False,18240738,KL,835,KL0835,,AMS,SIN,15-1-2024,2024-01-16,0.09,11.2,1.0,1.0,1.0,0.09,11.2,1.0,True,True,0.09,11.2,,,,False
16-1-2024 21:36:25,74,746896,7400746896,AMS,SIN,A,0.09,MC,11.2,K,1.0,M21,BOAT,AMS,FFM,False,False,False,False,False,False,False,False,18240738,KL,835,KL0835,,AMS,SIN,15-1-2024,2024-01-16,0.09,11.2,1.0,1.0,2.0,0.09,,1.0,True,True,0.09,11.2,40.0,40.0,59.0,True
16-1-2024 21:36:25,74,753734,7400753734,RTM,SIN,A,0.03,MC,5.0,K,1.0,M21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18241362,KL,835,KL0835,,AMS,SIN,15-1-2024,2024-01-16,0.02,5.0,1.0,1.0,1.0,0.03,5.0,1.0,True,True,0.03,5.0,,,,False
16-1-2024 21:36:25,74,753734,7400753734,RTM,SIN,A,0.03,MC,5.0,K,1.0,M21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18241362,KL,835,KL0835,,AMS,SIN,15-1-2024,2024-01-16,0.02,5.0,1.0,1.0,2.0,0.03,,1.0,True,True,0.03,5.0,20.0,28.0,45.0,True
16-1-2024 21:36:25,74,1085921,7401085921,LIM,SIN,A,3.64,MC,1127.0,K,2.0,S23,ASPA,AMS,FFM,False,True,False,False,False,False,False,False,18198471,KL,835,KL0835,,AMS,SIN,15-1-2024,2024-01-16,3.64,1127.0,2.0,1.0,1.0,1.82,563.5,2.0,True,True,1.82,563.5,,,,False
17-1-2024 17:00:03,74,1099346,7401099346,RTM,SIN,A,8.09,MC,1911.4,K,19.0,R21,GENE,HDQ,BFE,False,False,False,False,False,False,False,False,18218991,KL,835,KL0835,,AMS,SIN,15-1-2024,2024-01-16,8.09,1911.4,19.0,1.0,11.0,0.86,0.0,1.0,True,True,0.07,16.29,41.0,41.0,41.0,False
17-1-2024 17:00:03,74,1099346,7401099346,RTM,SIN,A,8.09,MC,1911.4,K,19.0,R21,GENE,HDQ,BFE,False,False,False,False,False,False,False,False,18218991,KL,835,KL0835,,AMS,SIN,15-1-2024,2024-01-16,8.09,1911.4,19.0,1.0,14.0,0.5,0.0,1.0,True,True,0.96,226.87,100.0,80.0,120.0,False
17-1-2024 17:00:03,74,1099346,7401099346,RTM,SIN,A,8.09,MC,1911.4,K,19.0,R21,GENE,HDQ,BFE,False,False,False,False,False,False,False,False,18218991,KL,835,KL0835,,AMS,SIN,15-1-2024,2024-01-16,8.09,1911.4,19.0,1.0,3.0,0.08,0.0,1.0,True,True,0.86,204.18,90.0,80.0,120.0,False
17-1-2024 17:00:03,74,1099346,7401099346,RTM,SIN,A,8.09,MC,1911.4,K,19.0,R21,GENE,HDQ,BFE,False,False,False,False,False,False,False,False,18218991,KL,835,KL0835,,AMS,SIN,15-1-2024,2024-01-16,8.09,1911.4,19.0,1.0,2.0,0.05,0.0,1.0,True,True,0.91,215.53,95.0,80.0,120.0,False
17-1-2024 17:00:03,74,1099346,7401099346,RTM,SIN,A,8.09,MC,1911.4,K,19.0,R21,GENE,HDQ,BFE,False,False,False,False,False,False,False,False,18218991,KL,835,KL0835,,AMS,SIN,15-1-2024,2024-01-16,8.09,1911.4,19.0,1.0,10.0,0.72,0.0,3.0,True,True,0.17,39.7,35.0,60.0,80.0,False
17-1-2024 17:00:03,74,1099346,7401099346,RTM,SIN,A,8.09,MC,1911.4,K,19.0,R21,GENE,HDQ,BFE,False,False,False,False,False,False,False,False,18218991,KL,835,KL0835,,AMS,SIN,15-1-2024,2024-01-16,8.09,1911.4,19.0,1.0,4.0,0.07,0.0,1.0,True,True,0.96,226.87,100.0,80.0,120.0,False
17-1-2024 17:00:03,74,1099346,7401099346,RTM,SIN,A,8.09,MC,1911.4,K,19.0,R21,GENE,HDQ,BFE,False,False,False,False,False,False,False,False,18218991,KL,835,KL0835,,AMS,SIN,15-1-2024,2024-01-16,8.09,1911.4,19.0,1.0,14.0,0.5,0.0,1.0,True,True,0.16,37.81,50.0,40.0,80.0,False
17-1-2024 17:00:03,74,1099346,7401099346,RTM,SIN,A,8.09,MC,1911.4,K,19.0,R21,GENE,HDQ,BFE,False,False,False,False,False,False,False,False,18218991,KL,835,KL0835,,AMS,SIN,15-1-2024,2024-01-16,8.09,1911.4,19.0,1.0,12.0,0.91,0.0,1.0,True,True,0.07,16.29,41.0,41.0,41.0,False
17-1-2024 17:00:03,74,1099346,7401099346,RTM,SIN,A,8.09,MC,1911.4,K,19.0,R21,GENE,HDQ,BFE,False,False,False,False,False,False,False,False,18218991,KL,835,KL0835,,AMS,SIN,15-1-2024,2024-01-16,8.09,1911.4,19.0,1.0,5.0,0.1,0.0,1.0,True,True,0.08,18.91,50.0,40.0,40.0,False
17-1-2024 17:00:03,74,1099346,7401099346,RTM,SIN,A,8.09,MC,1911.4,K,19.0,R21,GENE,HDQ,BFE,False,False,False,False,False,False,False,False,18218991,KL,835,KL0835,,AMS,SIN,15-1-2024,2024-01-16,8.09,1911.4,19.0,1.0,13.0,0.96,0.0,1.0,True,True,0.1,22.69,40.0,40.0,60.0,False
17-1-2024 17:00:03,74,1099346,7401099346,RTM,SIN,A,8.09,MC,1911.4,K,19.0,R21,GENE,HDQ,BFE,False,False,False,False,False,False,False,False,18218991,KL,835,KL0835,,AMS,SIN,15-1-2024,2024-01-16,8.09,1911.4,19.0,1.0,4.0,0.07,0.0,1.0,True,True,0.91,215.53,95.0,80.0,120.0,False
17-1-2024 17:00:03,74,1099346,7401099346,RTM,SIN,A,8.09,MC,1911.4,K,19.0,R21,GENE,HDQ,BFE,False,False,False,False,False,False,False,False,18218991,KL,835,KL0835,,AMS,SIN,15-1-2024,2024-01-16,8.09,1911.4,19.0,1.0,2.0,0.05,0.0,1.0,True,True,0.86,204.18,90.0,80.0,120.0,False
17-1-2024 17:00:03,74,1099346,7401099346,RTM,SIN,A,8.09,MC,1911.4,K,19.0,R21,GENE,HDQ,BFE,False,False,False,False,False,False,False,False,18218991,KL,835,KL0835,,AMS,SIN,15-1-2024,2024-01-16,8.09,1911.4,19.0,1.0,6.0,0.16,0.0,1.0,True,True,0.5,119.11,35.0,120.0,120.0,False
17-1-2024 17:00:03,74,1099346,7401099346,RTM,SIN,A,8.09,MC,1911.4,K,19.0,R21,GENE,HDQ,BFE,False,False,False,False,False,False,False,False,18218991,KL,835,KL0835,,AMS,SIN,15-1-2024,2024-01-16,8.09,1911.4,19.0,1.0,12.0,0.91,0.0,1.0,True,True,0.1,22.69,40.0,40.0,60.0,False
17-1-2024 17:00:03,74,1099346,7401099346,RTM,SIN,A,8.09,MC,1911.4,K,19.0,R21,GENE,HDQ,BFE,False,False,False,False,False,False,False,False,18218991,KL,835,KL0835,,AMS,SIN,15-1-2024,2024-01-16,8.09,1911.4,19.0,1.0,2.0,0.05,0.0,1.0,True,True,0.1,22.69,40.0,40.0,60.0,False
17-1-2024 17:00:03,74,1099346,7401099346,RTM,SIN,A,8.09,MC,1911.4,K,19.0,R21,GENE,HDQ,BFE,False,False,False,False,False,False,False,False,18218991,KL,835,KL0835,,AMS,SIN,15-1-2024,2024-01-16,8.09,1911.4,19.0,1.0,8.0,0.34,0.0,2.0,True,True,0.34,79.4,35.0,80.0,120.0,False
17-1-2024 17:00:03,74,1099346,7401099346,RTM,SIN,A,8.09,MC,1911.4,K,19.0,R21,GENE,HDQ,BFE,False,False,False,False,False,False,False,False,18218991,KL,835,KL0835,,AMS,SIN,15-1-2024,2024-01-16,8.09,1911.4,19.0,1.0,8.0,0.34,0.0,2.0,True,True,0.53,124.78,55.0,80.0,120.0,False
17-1-2024 17:00:03,74,1099346,7401099346,RTM,SIN,A,8.09,MC,1911.4,K,19.0,R21,GENE,HDQ,BFE,False,False,False,False,False,False,False,False,18218991,KL,835,KL0835,,AMS,SIN,15-1-2024,2024-01-16,8.09,1911.4,19.0,1.0,13.0,0.96,0.0,1.0,True,True,0.5,119.11,35.0,120.0,120.0,False
17-1-2024 17:00:03,74,1099346,7401099346,RTM,SIN,A,8.09,MC,1911.4,K,19.0,R21,GENE,HDQ,BFE,False,False,False,False,False,False,False,False,18218991,KL,835,KL0835,,AMS,SIN,15-1-2024,2024-01-16,8.09,1911.4,19.0,1.0,11.0,0.86,0.0,1.0,True,True,0.08,18.91,50.0,40.0,40.0,False
17-1-2024 17:00:03,74,1099346,7401099346,RTM,SIN,A,8.09,MC,1911.4,K,19.0,R21,GENE,HDQ,BFE,False,False,False,False,False,False,False,False,18218991,KL,835,KL0835,,AMS,SIN,15-1-2024,2024-01-16,8.09,1911.4,19.0,1.0,6.0,0.16,0.0,1.0,True,True,0.16,37.81,50.0,40.0,80.0,False
17-1-2024 17:00:03,74,1099346,7401099346,RTM,SIN,A,8.09,MC,1911.4,K,19.0,R21,GENE,HDQ,BFE,False,False,False,False,False,False,False,False,18218991,KL,835,KL0835,,AMS,SIN,15-1-2024,2024-01-16,8.09,1911.4,19.0,1.0,4.0,0.07,0.0,1.0,True,True,0.16,37.81,50.0,40.0,80.0,False
17-1-2024 17:00:03,74,1099346,7401099346,RTM,SIN,A,8.09,MC,1911.4,K,19.0,R21,GENE,HDQ,BFE,False,False,False,False,False,False,False,False,18218991,KL,835,KL0835,,AMS,SIN,15-1-2024,2024-01-16,8.09,1911.4,19.0,1.0,6.0,0.16,0.0,1.0,True,True,0.08,18.91,50.0,40.0,40.0,False
17-1-2024 17:00:03,74,1099346,7401099346,RTM,SIN,A,8.09,MC,1911.4,K,19.0,R21,GENE,HDQ,BFE,False,False,False,False,False,False,False,False,18218991,KL,835,KL0835,,AMS,SIN,15-1-2024,2024-01-16,8.09,1911.4,19.0,1.0,9.0,0.53,0.0,2.0,True,True,0.34,79.4,35.0,80.0,120.0,False
17-1-2024 17:00:03,74,1099346,7401099346,RTM,SIN,A,8.09,MC,1911.4,K,19.0,R21,GENE,HDQ,BFE,False,False,False,False,False,False,False,False,18218991,KL,835,KL0835,,AMS,SIN,15-1-2024,2024-01-16,8.09,1911.4,19.0,1.0,9.0,0.53,0.0,2.0,True,True,0.53,124.78,55.0,80.0,120.0,False
17-1-2024 17:00:03,74,1099346,7401099346,RTM,SIN,A,8.09,MC,1911.4,K,19.0,R21,GENE,HDQ,BFE,False,False,False,False,False,False,False,False,18218991,KL,835,KL0835,,AMS,SIN,15-1-2024,2024-01-16,8.09,1911.4,19.0,1.0,13.0,0.96,0.0,1.0,True,True,0.16,37.81,50.0,40.0,80.0,False
17-1-2024 17:00:03,74,1099346,7401099346,RTM,SIN,A,8.09,MC,1911.4,K,19.0,R21,GENE,HDQ,BFE,False,False,False,False,False,False,False,False,18218991,KL,835,KL0835,,AMS,SIN,15-1-2024,2024-01-16,8.09,1911.4,19.0,1.0,5.0,0.1,0.0,1.0,True,True,0.5,119.11,35.0,120.0,120.0,False
17-1-2024 17:00:03,74,1099346,7401099346,RTM,SIN,A,8.09,MC,1911.4,K,19.0,R21,GENE,HDQ,BFE,False,False,False,False,False,False,False,False,18218991,KL,835,KL0835,,AMS,SIN,15-1-2024,2024-01-16,8.09,1911.4,19.0,1.0,2.0,0.05,0.0,1.0,True,True,0.08,18.91,50.0,40.0,40.0,False
17-1-2024 17:00:03,74,1099346,7401099346,RTM,SIN,A,8.09,MC,1911.4,K,19.0,R21,GENE,HDQ,BFE,False,False,False,False,False,False,False,False,18218991,KL,835,KL0835,,AMS,SIN,15-1-2024,2024-01-16,8.09,1911.4,19.0,1.0,11.0,0.86,0.0,1.0,True,True,0.5,119.11,35.0,120.0,120.0,False
17-1-2024 17:00:03,74,1099346,7401099346,RTM,SIN,A,8.09,MC,1911.4,K,19.0,R21,GENE,HDQ,BFE,False,False,False,False,False,False,False,False,18218991,KL,835,KL0835,,AMS,SIN,15-1-2024,2024-01-16,8.09,1911.4,19.0,1.0,5.0,0.1,0.0,1.0,True,True,0.96,226.87,100.0,80.0,120.0,False
17-1-2024 17:00:03,74,1099346,7401099346,RTM,SIN,A,8.09,MC,1911.4,K,19.0,R21,GENE,HDQ,BFE,False,False,False,False,False,False,False,False,18218991,KL,835,KL0835,,AMS,SIN,15-1-2024,2024-01-16,8.09,1911.4,19.0,1.0,6.0,0.16,0.0,1.0,True,True,0.1,22.69,40.0,40.0,60.0,False
17-1-2024 17:00:03,74,1099346,7401099346,RTM,SIN,A,8.09,MC,1911.4,K,19.0,R21,GENE,HDQ,BFE,False,False,False,False,False,False,False,False,18218991,KL,835,KL0835,,AMS,SIN,15-1-2024,2024-01-16,8.09,1911.4,19.0,1.0,4.0,0.07,0.0,1.0,True,True,0.1,22.69,40.0,40.0,60.0,False
17-1-2024 17:00:03,74,1099346,7401099346,RTM,SIN,A,8.09,MC,1911.4,K,19.0,R21,GENE,HDQ,BFE,False,False,False,False,False,False,False,False,18218991,KL,835,KL0835,,AMS,SIN,15-1-2024,2024-01-16,8.09,1911.4,19.0,1.0,3.0,0.08,0.0,1.0,True,True,0.91,215.53,95.0,80.0,120.0,False
17-1-2024 17:00:03,74,1099346,7401099346,RTM,SIN,A,8.09,MC,1911.4,K,19.0,R21,GENE,HDQ,BFE,False,False,False,False,False,False,False,False,18218991,KL,835,KL0835,,AMS,SIN,15-1-2024,2024-01-16,8.09,1911.4,19.0,1.0,5.0,0.1,0.0,1.0,True,True,0.16,37.81,50.0,40.0,80.0,False
17-1-2024 17:00:03,74,1099346,7401099346,RTM,SIN,A,8.09,MC,1911.4,K,19.0,R21,GENE,HDQ,BFE,False,False,False,False,False,False,False,False,18218991,KL,835,KL0835,,AMS,SIN,15-1-2024,2024-01-16,8.09,1911.4,19.0,1.0,13.0,0.96,0.0,1.0,True,True,0.86,204.18,90.0,80.0,120.0,False
17-1-2024 17:00:03,74,1099346,7401099346,RTM,SIN,A,8.09,MC,1911.4,K,19.0,R21,GENE,HDQ,BFE,False,False,False,False,False,False,False,False,18218991,KL,835,KL0835,,AMS,SIN,15-1-2024,2024-01-16,8.09,1911.4,19.0,1.0,6.0,0.16,0.0,1.0,True,True,0.86,204.18,90.0,80.0,120.0,False
17-1-2024 17:00:03,74,1099346,7401099346,RTM,SIN,A,8.09,MC,1911.4,K,19.0,R21,GENE,HDQ,BFE,False,False,False,False,False,False,False,False,18218991,KL,835,KL0835,,AMS,SIN,15-1-2024,2024-01-16,8.09,1911.4,19.0,1.0,11.0,0.86,0.0,1.0,True,True,0.96,226.87,100.0,80.0,120.0,False
17-1-2024 17:00:03,74,1099346,7401099346,RTM,SIN,A,8.09,MC,1911.4,K,19.0,R21,GENE,HDQ,BFE,False,False,False,False,False,False,False,False,18218991,KL,835,KL0835,,AMS,SIN,15-1-2024,2024-01-16,8.09,1911.4,19.0,1.0,11.0,0.86,0.0,1.0,True,True,0.86,204.18,90.0,80.0,120.0,False
17-1-2024 17:00:03,74,1099346,7401099346,RTM,SIN,A,8.09,MC,1911.4,K,19.0,R21,GENE,HDQ,BFE,False,False,False,False,False,False,False,False,18218991,KL,835,KL0835,,AMS,SIN,15-1-2024,2024-01-16,8.09,1911.4,19.0,1.0,5.0,0.1,0.0,1.0,True,True,0.91,215.53,95.0,80.0,120.0,False
17-1-2024 17:00:03,74,1099346,7401099346,RTM,SIN,A,8.09,MC,1911.4,K,19.0,R21,GENE,HDQ,BFE,False,False,False,False,False,False,False,False,18218991,KL,835,KL0835,,AMS,SIN,15-1-2024,2024-01-16,8.09,1911.4,19.0,1.0,12.0,0.91,0.0,1.0,True,True,0.91,215.53,95.0,80.0,120.0,False
17-1-2024 17:00:03,74,1099346,7401099346,RTM,SIN,A,8.09,MC,1911.4,K,19.0,R21,GENE,HDQ,BFE,False,False,False,False,False,False,False,False,18218991,KL,835,KL0835,,AMS,SIN,15-1-2024,2024-01-16,8.09,1911.4,19.0,1.0,3.0,0.08,0.0,1.0,True,True,0.07,16.29,41.0,41.0,41.0,False
17-1-2024 17:00:03,74,1099346,7401099346,RTM,SIN,A,8.09,MC,1911.4,K,19.0,R21,GENE,HDQ,BFE,False,False,False,False,False,False,False,False,18218991,KL,835,KL0835,,AMS,SIN,15-1-2024,2024-01-16,8.09,1911.4,19.0,1.0,12.0,0.91,0.0,1.0,True,True,0.86,204.18,90.0,80.0,120.0,False
17-1-2024 17:00:03,74,1099346,7401099346,RTM,SIN,A,8.09,MC,1911.4,K,19.0,R21,GENE,HDQ,BFE,False,False,False,False,False,False,False,False,18218991,KL,835,KL0835,,AMS,SIN,15-1-2024,2024-01-16,8.09,1911.4,19.0,1.0,14.0,0.5,0.0,1.0,True,True,0.91,215.53,95.0,80.0,120.0,False
17-1-2024 17:00:03,74,1099346,7401099346,RTM,SIN,A,8.09,MC,1911.4,K,19.0,R21,GENE,HDQ,BFE,False,False,False,False,False,False,False,False,18218991,KL,835,KL0835,,AMS,SIN,15-1-2024,2024-01-16,8.09,1911.4,19.0,1.0,12.0,0.91,0.0,1.0,True,True,0.96,226.87,100.0,80.0,120.0,False
17-1-2024 17:00:03,74,1099346,7401099346,RTM,SIN,A,8.09,MC,1911.4,K,19.0,R21,GENE,HDQ,BFE,False,False,False,False,False,False,False,False,18218991,KL,835,KL0835,,AMS,SIN,15-1-2024,2024-01-16,8.09,1911.4,19.0,1.0,5.0,0.1,0.0,1.0,True,True,0.1,22.69,40.0,40.0,60.0,False
17-1-2024 17:00:03,74,1099346,7401099346,RTM,SIN,A,8.09,MC,1911.4,K,19.0,R21,GENE,HDQ,BFE,False,False,False,False,False,False,False,False,18218991,KL,835,KL0835,,AMS,SIN,15-1-2024,2024-01-16,8.09,1911.4,19.0,1.0,5.0,0.1,0.0,1.0,True,True,0.07,16.29,41.0,41.0,41.0,False
17-1-2024 17:00:03,74,1099346,7401099346,RTM,SIN,A,8.09,MC,1911.4,K,19.0,R21,GENE,HDQ,BFE,False,False,False,False,False,False,False,False,18218991,KL,835,KL0835,,AMS,SIN,15-1-2024,2024-01-16,8.09,1911.4,19.0,1.0,14.0,0.5,0.0,1.0,True,True,0.05,12.1,32.0,40.0,40.0,False
17-1-2024 17:00:03,74,1099346,7401099346,RTM,SIN,A,8.09,MC,1911.4,K,19.0,R21,GENE,HDQ,BFE,False,False,False,False,False,False,False,False,18218991,KL,835,KL0835,,AMS,SIN,15-1-2024,2024-01-16,8.09,1911.4,19.0,1.0,6.0,0.16,0.0,1.0,True,True,0.05,12.1,32.0,40.0,40.0,False
17-1-2024 17:00:03,74,1099346,7401099346,RTM,SIN,A,8.09,MC,1911.4,K,19.0,R21,GENE,HDQ,BFE,False,False,False,False,False,False,False,False,18218991,KL,835,KL0835,,AMS,SIN,15-1-2024,2024-01-16,8.09,1911.4,19.0,1.0,7.0,0.17,0.0,3.0,True,True,0.17,39.7,35.0,60.0,80.0,False
17-1-2024 17:00:03,74,1099346,7401099346,RTM,SIN,A,8.09,MC,1911.4,K,19.0,R21,GENE,HDQ,BFE,False,False,False,False,False,False,False,False,18218991,KL,835,KL0835,,AMS,SIN,15-1-2024,2024-01-16,8.09,1911.4,19.0,1.0,14.0,0.5,0.0,1.0,True,True,0.86,204.18,90.0,80.0,120.0,False
17-1-2024 17:00:03,74,1099346,7401099346,RTM,SIN,A,8.09,MC,1911.4,K,19.0,R21,GENE,HDQ,BFE,False,False,False,False,False,False,False,False,18218991,KL,835,KL0835,,AMS,SIN,15-1-2024,2024-01-16,8.09,1911.4,19.0,1.0,14.0,0.5,0.0,1.0,True,True,0.08,18.91,50.0,40.0,40.0,False
17-1-2024 17:00:03,74,1099346,7401099346,RTM,SIN,A,8.09,MC,1911.4,K,19.0,R21,GENE,HDQ,BFE,False,False,False,False,False,False,False,False,18218991,KL,835,KL0835,,AMS,SIN,15-1-2024,2024-01-16,8.09,1911.4,19.0,1.0,6.0,0.16,0.0,1.0,True,True,0.07,16.29,41.0,41.0,41.0,False
17-1-2024 17:00:03,74,1099346,7401099346,RTM,SIN,A,8.09,MC,1911.4,K,19.0,R21,GENE,HDQ,BFE,False,False,False,False,False,False,False,False,18218991,KL,835,KL0835,,AMS,SIN,15-1-2024,2024-01-16,8.09,1911.4,19.0,1.0,5.0,0.1,0.0,1.0,True,True,0.05,12.1,32.0,40.0,40.0,False
17-1-2024 17:00:03,74,1099346,7401099346,RTM,SIN,A,8.09,MC,1911.4,K,19.0,R21,GENE,HDQ,BFE,False,False,False,False,False,False,False,False,18218991,KL,835,KL0835,,AMS,SIN,15-1-2024,2024-01-16,8.09,1911.4,19.0,1.0,11.0,0.86,0.0,1.0,True,True,0.16,37.81,50.0,40.0,80.0,False
17-1-2024 17:00:03,74,1099346,7401099346,RTM,SIN,A,8.09,MC,1911.4,K,19.0,R21,GENE,HDQ,BFE,False,False,False,False,False,False,False,False,18218991,KL,835,KL0835,,AMS,SIN,15-1-2024,2024-01-16,8.09,1911.4,19.0,1.0,14.0,0.5,0.0,1.0,True,True,0.5,119.11,35.0,120.0,120.0,False
17-1-2024 17:00:03,74,1099346,7401099346,RTM,SIN,A,8.09,MC,1911.4,K,19.0,R21,GENE,HDQ,BFE,False,False,False,False,False,False,False,False,18218991,KL,835,KL0835,,AMS,SIN,15-1-2024,2024-01-16,8.09,1911.4,19.0,1.0,4.0,0.07,0.0,1.0,True,True,0.07,16.29,41.0,41.0,41.0,False
17-1-2024 17:00:03,74,1099346,7401099346,RTM,SIN,A,8.09,MC,1911.4,K,19.0,R21,GENE,HDQ,BFE,False,False,False,False,False,False,False,False,18218991,KL,835,KL0835,,AMS,SIN,15-1-2024,2024-01-16,8.09,1911.4,19.0,1.0,6.0,0.16,0.0,1.0,True,True,0.91,215.53,95.0,80.0,120.0,False
17-1-2024 17:00:03,74,1099346,7401099346,RTM,SIN,A,8.09,MC,1911.4,K,19.0,R21,GENE,HDQ,BFE,False,False,False,False,False,False,False,False,18218991,KL,835,KL0835,,AMS,SIN,15-1-2024,2024-01-16,8.09,1911.4,19.0,1.0,2.0,0.05,0.0,1.0,True,True,0.05,12.1,32.0,40.0,40.0,False
17-1-2024 17:00:03,74,1099346,7401099346,RTM,SIN,A,8.09,MC,1911.4,K,19.0,R21,GENE,HDQ,BFE,False,False,False,False,False,False,False,False,18218991,KL,835,KL0835,,AMS,SIN,15-1-2024,2024-01-16,8.09,1911.4,19.0,1.0,3.0,0.08,0.0,1.0,True,True,0.05,12.1,32.0,40.0,40.0,False
17-1-2024 17:00:03,74,1099346,7401099346,RTM,SIN,A,8.09,MC,1911.4,K,19.0,R21,GENE,HDQ,BFE,False,False,False,False,False,False,False,False,18218991,KL,835,KL0835,,AMS,SIN,15-1-2024,2024-01-16,8.09,1911.4,19.0,1.0,13.0,0.96,0.0,1.0,True,True,0.05,12.1,32.0,40.0,40.0,False
17-1-2024 17:00:03,74,1099346,7401099346,RTM,SIN,A,8.09,MC,1911.4,K,19.0,R21,GENE,HDQ,BFE,False,False,False,False,False,False,False,False,18218991,KL,835,KL0835,,AMS,SIN,15-1-2024,2024-01-16,8.09,1911.4,19.0,1.0,12.0,0.91,0.0,1.0,True,True,0.05,12.1,32.0,40.0,40.0,False
17-1-2024 17:00:03,74,1099346,7401099346,RTM,SIN,A,8.09,MC,1911.4,K,19.0,R21,GENE,HDQ,BFE,False,False,False,False,False,False,False,False,18218991,KL,835,KL0835,,AMS,SIN,15-1-2024,2024-01-16,8.09,1911.4,19.0,1.0,13.0,0.96,0.0,1.0,True,True,0.08,18.91,50.0,40.0,40.0,False
